t_no,t_name,t_nm_name,t_m_name,t_mwm,t_ml_number,t_ms_number,t_hml_number,t_hms_number ,t_cml_number,t_cms_number,t_wml_number,t_hwml_number,t_hwms_number,t_manage,t_tel,t_close,t_la,t_lo,t_data,t_mcode,t_service,t_com_score,t_user_count
397,시립은평청소년수련관,서울특별시 은평구 백련산로4길 16,서울특별시 은평구 응암동 산6-46,N,10,12,0,0,0,0,13,0,0,서울특별시청,02-383-9966,(평일)09:00~18:00,37.594206,126.9245467,2020-01-01,3110000,서울특별시 은평구,0,0
398,신도고등학교,서울특별시 은평구 통일로 961,,N,33,54,1,0,0,0,45,1,0,신도고등학교,02-3157-0021,(평일)09:00~18:00,37.62913413,126.9187475,2020-01-01,3110000,서울특별시 은평구,0,0
399,신도초등학교,서울특별시 은평구 진관1로 77-23,,N,31,45,1,0,0,0,114,1,0,신도초등학교,02-352-3692,(평일)09:00~18:00,37.63293942,126.9291978,2020-01-01,3110000,서울특별시 은평구,0,0
400,신사1동주민센터,서울특별시 은평구 은평로2길 2,,N,4,4,0,0,0,0,8,0,0,서울특별시 은평구청,02-351-5347,(평일)09:00~18:00,37.59779273,126.911754,2020-01-01,3110000,서울특별시 은평구,0,0
401,신사1센터,서울특별시 은평구 은평로 28,서울특별시 은평구 신사동 29-10,N,1,1,0,0,0,0,2,0,0,신사1치안센터,02-302-9904,연중무휴,37.59790027,126.91096,2020-01-01,3110000,서울특별시 은평구,0,0
402,신사2동주민센터,서울특별시 은평구 증산로15길 47,서울특별시 은평구 신사2동 163-17,N,5,7,5,0,0,0,10,5,0,서울특별시 은평구청,02-351-5365,(평일)09:00~18:00,37.590253,126.9080605,2020-01-01,3110000,서울특별시 은평구,0,0
403,신사종합복지관,서울특별시 은평구 은평로 38,서울특별시 은평구 신사동 26-18,N,4,4,1,0,0,0,6,1,0,서울특별시 은평구청,02-351-7006,(평일)09:00~18:00,37.59804894,126.912193,2020-01-01,3110000,서울특별시 은평구,0,0
404,신사지구대,서울특별시 은평구 은평로 28,서울특별시 은평구 신사동 29-10,N,1,2,0,0,0,0,2,0,0,신사지구대,02-302-9904,연중무휴,37.59790027,126.91096,2020-01-01,3110000,서울특별시 은평구,0,0
405,신사초등학교,서울특별시 은평구 가좌로 275-2,서울특별시 은평구 신사동 98-32,N,30,63,0,0,0,0,75,0,83,신사초등학교,02-373-9356,(평일)09:00~18:00,37.59283384,126.9119841,2020-01-01,3110000,서울특별시 은평구,0,0
406,신진자동차고등학교,서울특별시 은평구 은평로6길 16,서울특별시 은평구 응암동 114-1,N,42,55,1,0,0,0,23,1,0,신진자동차고등학교,02-385-3451,(평일)09:00~18:00,37.59871321,126.9188349,2020-01-01,3110000,서울특별시 은평구,0,0
407,신흥어린이공원,서울특별시 은평구 증산로21길 25,서울특별시 은평구 신사동 31-2,N,1,2,1,0,0,0,3,1,0,서울특별시 은평구청,02-351-7565,연중무휴,37.59594764,126.9119487,2020-01-01,3110000,서울특별시 은평구,0,0
408,역마을어린이공원,서울특별시 은평구 진흥로1길 9,서울특별시 은평구 역촌동 39-2,N,1,4,1,0,0,0,4,1,0,서울특별시 은평구청,02-351-7565,연중무휴,37.60118182,126.9186737,2020-01-01,3110000,서울특별시 은평구,0,0
409,역말어린이공원,서울특별시 은평구 갈현로14길 32,서울특별시 은평구 역촌동 47-1,N,1,2,1,0,0,0,3,1,0,서울특별시 은평구청,02-351-7565,연중무휴,37.60691619,126.9142507,2020-01-01,3110000,서울특별시 은평구,0,0
